date,value
2014-02-01,137707.0
2014-03-01,137986.0
2014-04-01,138298.0
2014-05-01,138501.0
2014-06-01,138833.0
2014-07-01,139076.0
2014-08-01,139258.0
2014-09-01,139563.0
2014-10-01,139805.0
2014-11-01,140089.0
2014-12-01,140366.0
2015-01-01,140562.0
2015-02-01,140829.0
2015-03-01,140924.0
2015-04-01,141202.0
2015-05-01,141540.0
2015-06-01,141695.0
2015-07-01,141989.0
2015-08-01,142130.0
2015-09-01,142265.0
2015-10-01,142585.0
2015-11-01,142810.0
2015-12-01,143083.0
2016-01-01,143198.0
2016-02-01,143410.0
2016-03-01,143666.0
2016-04-01,143856.0
2016-05-01,143901.0
2016-06-01,144152.0
2016-07-01,144515.0
2016-08-01,144664.0
2016-09-01,144961.0
2016-10-01,145069.0
2016-11-01,145189.0
2016-12-01,145408.0
2017-01-01,145639.0
2017-02-01,145845.0
2017-03-01,145975.0
2017-04-01,146172.0
2017-05-01,146389.0
2017-06-01,146588.0
2017-07-01,146772.0
2017-08-01,146907.0
2017-09-01,146999.0
2017-10-01,147147.0
2017-11-01,147377.0
2017-12-01,147521.0
2018-01-01,147670.0
2018-02-01,148058.0
2018-03-01,148281.0
2018-04-01,148426.0
2018-05-01,148755.0
2018-06-01,148966.0
2018-07-01,149022.0
2018-08-01,149272.0
2018-09-01,149361.0
2018-10-01,149526.0
2018-11-01,149622.0
2018-12-01,149805.0
2019-01-01,150114.0
2019-02-01,150092.0
2019-03-01,150320.0
2019-04-01,150563.0
2019-05-01,150630.0
2019-06-01,150797.0
2019-07-01,150879.0
2019-08-01,151111.0
2019-09-01,151318.0
2019-10-01,151447.0
2019-11-01,151662.0
2019-12-01,151764.0
2020-01-01,152098.0
2020-02-01,152371.0
2020-03-01,150944.0
2020-04-01,130430.0
2020-05-01,133055.0
2020-06-01,137620.0
2020-07-01,139064.0
2020-08-01,140799.0
2020-09-01,141760.0
2020-10-01,142479.0
2020-11-01,142743.0
2020-12-01,142475.0
2021-01-01,142969.0
2021-02-01,143544.0
2021-03-01,144328.0
2021-04-01,144614.0
2021-05-01,145096.0
2021-06-01,145789.0
2021-07-01,146558.0
2021-08-01,147221.0
2021-09-01,147778.0
2021-10-01,148559.0
2021-11-01,149173.0
2021-12-01,149742.0
2022-01-01,150106.0
2022-02-01,151010.0
2022-03-01,151424.0
2022-04-01,151678.0
2022-05-01,152042.0
2022-06-01,152412.0
2022-07-01,152980.0
2022-08-01,153332.0
2022-09-01,153682.0
2022-10-01,154006.0
2022-11-01,154296.0
2022-12-01,154535.0
2023-01-01,155007.0
2023-02-01,155255.0
2023-03-01,155472.0
2023-04-01,155689.0
2023-05-01,155970.0
2023-06-01,156075.0
2023-07-01,156311.0
2023-08-01,156476.0
2023-09-01,156738.0
2023-10-01,156843.0
2023-11-01,157016.0
2023-12-01,157232.0
