date,value
2014-02-01,36.5
2014-03-01,35.3
2014-04-01,34.9
2014-05-01,34.4
2014-06-01,33.9
2014-07-01,32.7
2014-08-01,32.0
2014-09-01,31.9
2014-10-01,32.3
2014-11-01,32.7
2014-12-01,32.7
2015-01-01,32.0
2015-02-01,31.2
2015-03-01,30.5
2015-04-01,30.9
2015-05-01,30.7
2015-06-01,28.4
2015-07-01,28.1
2015-08-01,28.4
2015-09-01,25.7
2015-10-01,27.5
2015-11-01,27.9
2015-12-01,27.9
2016-01-01,29.1
2016-02-01,29.4
2016-03-01,28.3
2016-04-01,27.9
2016-05-01,26.9
2016-06-01,28.0
2016-07-01,27.8
2016-08-01,27.2
2016-09-01,26.5
2016-10-01,26.6
2016-11-01,25.9
2016-12-01,26.3
2017-01-01,25.3
2017-02-01,25.5
2017-03-01,25.1
2017-04-01,24.1
2017-05-01,24.7
2017-06-01,24.6
2017-07-01,24.6
2017-08-01,24.0
2017-09-01,26.1
2017-10-01,26.2
2017-11-01,25.7
2017-12-01,24.2
2018-01-01,24.2
2018-02-01,22.9
2018-03-01,24.0
2018-04-01,22.5
2018-05-01,21.1
2018-06-01,20.8
2018-07-01,23.1
2018-08-01,22.4
2018-09-01,24.2
2018-10-01,23.1
2018-11-01,22.1
2018-12-01,21.9
2019-01-01,20.5
2019-02-01,21.8
2019-03-01,22.2
2019-04-01,22.5
2019-05-01,24.0
2019-06-01,21.6
2019-07-01,19.6
2019-08-01,21.9
2019-09-01,22.5
2019-10-01,22.4
2019-11-01,20.3
2019-12-01,20.7
2020-01-01,21.9
2020-02-01,20.6
2020-03-01,17.0
2020-04-01,7.1
2020-05-01,10.5
2020-06-01,14.3
2020-07-01,17.0
2020-08-01,19.9
2020-09-01,21.5
2020-10-01,22.0
2020-11-01,23.4
2020-12-01,23.3
2021-01-01,25.9
2021-02-01,27.5
2021-03-01,29.7
2021-04-01,28.3
2021-05-01,29.6
2021-06-01,31.9
2021-07-01,29.7
2021-08-01,29.5
2021-09-01,28.5
2021-10-01,26.8
2021-11-01,28.9
2021-12-01,28.1
2022-01-01,24.5
2022-02-01,26.3
2022-03-01,24.2
2022-04-01,24.8
2022-05-01,22.4
2022-06-01,22.3
2022-07-01,22.1
2022-08-01,22.3
2022-09-01,20.2
2022-10-01,20.8
2022-11-01,21.5
2022-12-01,19.5
2023-01-01,20.4
2023-02-01,19.3
2023-03-01,19.5
2023-04-01,20.8
2023-05-01,21.2
2023-06-01,20.7
2023-07-01,20.6
2023-08-01,20.4
2023-09-01,21.4
2023-10-01,21.6
2023-11-01,19.5
2023-12-01,22.3
