date,value
2014-02-01,1.29
2014-03-01,1.3
2014-04-01,1.3
2014-05-01,1.31
2014-06-01,1.31
2014-07-01,1.3
2014-08-01,1.31
2014-09-01,1.32
2014-10-01,1.33
2014-11-01,1.35
2014-12-01,1.35
2015-01-01,1.39
2015-02-01,1.38
2015-03-01,1.37
2015-04-01,1.37
2015-05-01,1.39
2015-06-01,1.39
2015-07-01,1.39
2015-08-01,1.4
2015-09-01,1.4
2015-10-01,1.41
2015-11-01,1.41
2015-12-01,1.44
2016-01-01,1.43
2016-02-01,1.43
2016-03-01,1.43
2016-04-01,1.42
2016-05-01,1.42
2016-06-01,1.41
2016-07-01,1.42
2016-08-01,1.42
2016-09-01,1.41
2016-10-01,1.41
2016-11-01,1.42
2016-12-01,1.39
2017-01-01,1.39
2017-02-01,1.4
2017-03-01,1.39
2017-04-01,1.4
2017-05-01,1.39
2017-06-01,1.4
2017-07-01,1.4
2017-08-01,1.39
2017-09-01,1.39
2017-10-01,1.39
2017-11-01,1.37
2017-12-01,1.38
2018-01-01,1.37
2018-02-01,1.37
2018-03-01,1.37
2018-04-01,1.37
2018-05-01,1.35
2018-06-01,1.35
2018-07-01,1.37
2018-08-01,1.36
2018-09-01,1.36
2018-10-01,1.36
2018-11-01,1.38
2018-12-01,1.39
2019-01-01,1.4
2019-02-01,1.4
2019-03-01,1.41
2019-04-01,1.42
2019-05-01,1.42
2019-06-01,1.44
2019-07-01,1.46
2019-08-01,1.47
2019-09-01,1.48
2019-10-01,1.5
2019-11-01,1.52
2019-12-01,1.53
2020-01-01,1.55
2020-02-01,1.54
2020-03-01,1.62
2020-04-01,1.89
2020-05-01,1.84
2020-06-01,1.66
2020-07-01,1.59
2020-08-01,1.57
2020-09-01,1.56
2020-10-01,1.55
2020-11-01,1.54
2020-12-01,1.51
2021-01-01,1.48
2021-02-01,1.51
2021-03-01,1.5
2021-04-01,1.5
2021-05-01,1.5
2021-06-01,1.49
2021-07-01,1.48
2021-08-01,1.49
2021-09-01,1.5
2021-10-01,1.49
2021-11-01,1.49
2021-12-01,1.49
2022-01-01,1.49
2022-02-01,1.48
2022-03-01,1.46
2022-04-01,1.46
2022-05-01,1.46
2022-06-01,1.45
2022-07-01,1.47
2022-08-01,1.47
2022-09-01,1.47
2022-10-01,1.46
2022-11-01,1.47
2022-12-01,1.49
2023-01-01,1.48
2023-02-01,1.49
2023-03-01,1.48
2023-04-01,1.5
2023-05-01,1.49
2023-06-01,1.48
2023-07-01,1.47
2023-08-01,1.46
2023-09-01,1.46
2023-10-01,1.48
2023-11-01,1.48
