date,value
2014-04-01,84.1
2014-05-01,81.9
2014-06-01,82.5
2014-07-01,81.8
2014-08-01,82.5
2014-09-01,84.6
2014-10-01,86.9
2014-11-01,88.8
2014-12-01,93.6
2015-01-01,98.1
2015-02-01,95.4
2015-03-01,93.0
2015-04-01,95.9
2015-05-01,90.7
2015-06-01,96.1
2015-07-01,93.1
2015-08-01,91.9
2015-09-01,87.2
2015-10-01,90.0
2015-11-01,91.3
2015-12-01,92.6
2016-01-01,92.0
2016-02-01,91.7
2016-03-01,91.0
2016-04-01,89.0
2016-05-01,94.7
2016-06-01,93.5
2016-07-01,90.0
2016-08-01,89.8
2016-09-01,91.2
2016-10-01,87.2
2016-11-01,93.8
2016-12-01,98.2
2017-01-01,98.5
2017-02-01,96.3
2017-03-01,96.9
2017-04-01,97.0
2017-05-01,97.1
2017-06-01,95.0
2017-07-01,93.4
2017-08-01,96.8
2017-09-01,95.1
2017-10-01,100.7
2017-11-01,98.5
2017-12-01,95.9
2018-01-01,95.7
2018-02-01,99.7
2018-03-01,101.4
2018-04-01,98.8
2018-05-01,98.0
2018-06-01,98.2
2018-07-01,97.9
2018-08-01,96.2
2018-09-01,100.1
2018-10-01,98.6
2018-11-01,97.5
2018-12-01,98.3
2019-01-01,91.2
2019-02-01,93.8
2019-03-01,98.4
2019-04-01,97.2
2019-05-01,100.0
2019-06-01,98.2
2019-07-01,98.4
2019-08-01,89.8
2019-09-01,93.2
2019-10-01,95.5
2019-11-01,96.8
2019-12-01,99.3
2020-01-01,99.8
2020-02-01,101.0
2020-03-01,89.1
2020-04-01,71.8
2020-05-01,72.3
2020-06-01,78.1
2020-07-01,72.5
2020-08-01,74.1
2020-09-01,80.4
2020-10-01,81.8
2020-11-01,76.9
2020-12-01,80.7
2021-01-01,79.0
2021-02-01,76.8
2021-03-01,84.9
2021-04-01,88.3
2021-05-01,82.9
2021-06-01,85.5
2021-07-01,81.2
2021-08-01,70.3
2021-09-01,72.8
2021-10-01,71.7
2021-11-01,67.4
2021-12-01,70.6
2022-01-01,67.2
2022-02-01,62.8
2022-03-01,59.4
2022-04-01,65.2
2022-05-01,58.4
2022-06-01,50.0
2022-07-01,51.5
2022-08-01,58.2
2022-09-01,58.6
2022-10-01,59.9
2022-11-01,56.7
2022-12-01,59.8
2023-01-01,64.9
2023-02-01,66.9
2023-03-01,62.0
2023-04-01,63.7
2023-05-01,59.0
2023-06-01,64.2
2023-07-01,71.5
2023-08-01,69.4
2023-09-01,67.8
2023-10-01,63.8
2023-11-01,61.3
2023-12-01,69.7
2024-01-01,79.0
2024-02-01,76.9
