date,value
2014-02-01,1039.0
2014-03-01,1067.0
2014-04-01,1090.0
2014-05-01,1018.0
2014-06-01,1010.0
2014-07-01,1076.0
2014-08-01,1047.0
2014-09-01,1077.0
2014-10-01,1094.0
2014-11-01,1059.0
2014-12-01,1072.0
2015-01-01,1049.0
2015-02-01,1127.0
2015-03-01,1072.0
2015-04-01,1166.0
2015-05-01,1272.0
2015-06-01,1379.0
2015-07-01,1140.0
2015-08-01,1165.0
2015-09-01,1144.0
2015-10-01,1160.0
2015-11-01,1244.0
2015-12-01,1211.0
2016-01-01,1171.0
2016-02-01,1172.0
2016-03-01,1118.0
2016-04-01,1160.0
2016-05-01,1205.0
2016-06-01,1208.0
2016-07-01,1198.0
2016-08-01,1201.0
2016-09-01,1303.0
2016-10-01,1254.0
2016-11-01,1230.0
2016-12-01,1248.0
2017-01-01,1296.0
2017-02-01,1237.0
2017-03-01,1273.0
2017-04-01,1239.0
2017-05-01,1205.0
2017-06-01,1353.0
2017-07-01,1254.0
2017-08-01,1336.0
2017-09-01,1277.0
2017-10-01,1360.0
2017-11-01,1295.0
2017-12-01,1312.0
2018-01-01,1311.0
2018-02-01,1331.0
2018-03-01,1381.0
2018-04-01,1365.0
2018-05-01,1331.0
2018-06-01,1338.0
2018-07-01,1333.0
2018-08-01,1293.0
2018-09-01,1320.0
2018-10-01,1280.0
2018-11-01,1334.0
2018-12-01,1320.0
2019-01-01,1254.0
2019-02-01,1302.0
2019-03-01,1291.0
2019-04-01,1298.0
2019-05-01,1338.0
2019-06-01,1301.0
2019-07-01,1347.0
2019-08-01,1528.0
2019-09-01,1491.0
2019-10-01,1538.0
2019-11-01,1522.0
2019-12-01,1461.0
2020-01-01,1500.0
2020-02-01,1440.0
2020-03-01,1348.0
2020-04-01,1050.0
2020-05-01,1253.0
2020-06-01,1329.0
2020-07-01,1526.0
2020-08-01,1564.0
2020-09-01,1643.0
2020-10-01,1622.0
2020-11-01,1713.0
2020-12-01,1760.0
2021-01-01,1866.0
2021-02-01,1700.0
2021-03-01,1731.0
2021-04-01,1714.0
2021-05-01,1680.0
2021-06-01,1644.0
2021-07-01,1618.0
2021-08-01,1837.0
2021-09-01,1636.0
2021-10-01,1727.0
2021-11-01,1775.0
2021-12-01,1948.0
2022-01-01,1898.0
2022-02-01,1817.0
2022-03-01,1877.0
2022-04-01,1795.0
2022-05-01,1708.0
2022-06-01,1701.0
2022-07-01,1658.0
2022-08-01,1586.0
2022-09-01,1588.0
2022-10-01,1555.0
2022-11-01,1402.0
2022-12-01,1409.0
2023-01-01,1354.0
2023-02-01,1482.0
2023-03-01,1437.0
2023-04-01,1417.0
2023-05-01,1496.0
2023-06-01,1441.0
2023-07-01,1443.0
2023-08-01,1541.0
2023-09-01,1471.0
2023-10-01,1498.0
2023-11-01,1467.0
2023-12-01,1495.0
