,Value
2014-02-01,1268722.0
2014-03-01,1279006.0
2014-04-01,1280443.0
2014-05-01,1283964.0
2014-06-01,1283791.0
2014-07-01,1291656.0
2014-08-01,1294102.0
2014-09-01,1293829.0
2014-10-01,1295747.0
2014-11-01,1298950.0
2014-12-01,1306392.0
2015-01-01,1308978.0
2015-02-01,1303724.0
2015-03-01,1310961.0
2015-04-01,1321167.0
2015-05-01,1307579.0
2015-06-01,1309833.0
2015-07-01,1313431.0
2015-08-01,1315072.0
2015-09-01,1327948.0
2015-10-01,1325144.0
2015-11-01,1322511.0
2015-12-01,1320606.0
2016-01-01,1321509.0
2016-02-01,1332078.0
2016-03-01,1332612.0
2016-04-01,1331387.0
2016-05-01,1323914.0
2016-06-01,1331850.0
2016-07-01,1330786.0
2016-08-01,1340941.0
2016-09-01,1342844.0
2016-10-01,1344497.0
2016-11-01,1345017.0
2016-12-01,1361415.0
2017-01-01,1365202.0
2017-02-01,1363025.0
2017-03-01,1360169.0
2017-04-01,1355381.0
2017-05-01,1360858.0
2017-06-01,1365370.0
2017-07-01,1370870.0
2017-08-01,1378509.0
2017-09-01,1385196.0
2017-10-01,1393064.0
2017-11-01,1403474.0
2017-12-01,1412747.0
2018-01-01,1394188.0
2018-02-01,1401163.0
2018-03-01,1398064.0
2018-04-01,1398213.0
2018-05-01,1408616.0
2018-06-01,1402036.0
2018-07-01,1405164.0
2018-08-01,1412014.0
2018-09-01,1411531.0
2018-10-01,1406996.0
2018-11-01,1411645.0
2018-12-01,1408513.0
2019-01-01,1412644.0
2019-02-01,1415268.0
2019-03-01,1413719.0
2019-04-01,1400401.0
2019-05-01,1408021.0
2019-06-01,1413647.0
2019-07-01,1412539.0
2019-08-01,1418631.0
2019-09-01,1413875.0
2019-10-01,1399583.0
2019-11-01,1406281.0
2019-12-01,1399284.0
2020-01-01,1393350.0
2020-02-01,1402552.0
2020-03-01,1342940.0
2020-04-01,1182385.0
2020-05-01,1279426.0
2020-06-01,1381570.0
2020-07-01,1416754.0
2020-08-01,1423157.0
2020-09-01,1431727.0
2020-10-01,1441300.0
2020-11-01,1441697.0
2020-12-01,1456396.0
2021-01-01,1484260.0
2021-02-01,1444603.0
2021-03-01,1497543.0
2021-04-01,1498783.0
2021-05-01,1471897.0
2021-06-01,1477907.0
2021-07-01,1484750.0
2021-08-01,1482132.0
2021-09-01,1491198.0
2021-10-01,1496139.0
2021-11-01,1504438.0
2021-12-01,1505373.0
2022-01-01,1502677.0
2022-02-01,1492385.0
2022-03-01,1489554.0
2022-04-01,1484641.0
2022-05-01,1465655.0
2022-06-01,1459948.0
2022-07-01,1464388.0
2022-08-01,1486775.0
2022-09-01,1487782.0
2022-10-01,1486505.0
2022-11-01,1474258.0
2022-12-01,1495942.0
2023-01-01,1496789.0
2023-02-01,1493217.0
2023-03-01,1478999.0
2023-04-01,1475174.0
2023-05-01,1489005.0
2023-06-01,1488903.0
2023-07-01,1500218.0
2023-08-01,1497717.0
2023-09-01,1507530.0
2023-10-01,1506491.0
