,Value
2014-05-01,12517.4
2014-06-01,12562.1
2014-07-01,12593.5
2014-08-01,12657.1
2014-09-01,12701.3
2014-10-01,12769.9
2014-11-01,12848.6
2014-12-01,12933.1
2015-01-01,13038.7
2015-02-01,13086.9
2015-03-01,13043.4
2015-04-01,13080.5
2015-05-01,13108.5
2015-06-01,13116.2
2015-07-01,13138.7
2015-08-01,13165.5
2015-09-01,13200.8
2015-10-01,13235.8
2015-11-01,13227.7
2015-12-01,13278.2
2016-01-01,13294.9
2016-02-01,13288.1
2016-03-01,13286.4
2016-04-01,13263.0
2016-05-01,13253.1
2016-06-01,13272.8
2016-07-01,13334.6
2016-08-01,13344.9
2016-09-01,13385.3
2016-10-01,13402.3
2016-11-01,13450.8
2016-12-01,13499.3
2017-01-01,13541.3
2017-02-01,13589.2
2017-03-01,13642.8
2017-04-01,13682.6
2017-05-01,13780.7
2017-06-01,13790.9
2017-07-01,13837.7
2017-08-01,13860.4
2017-09-01,13903.9
2017-10-01,13963.2
2017-11-01,14028.2
2017-12-01,14062.3
2018-01-01,14042.8
2018-02-01,14068.6
2018-03-01,14103.0
2018-04-01,14121.8
2018-05-01,14163.6
2018-06-01,14226.0
2018-07-01,14298.5
2018-08-01,14356.7
2018-09-01,14354.0
2018-10-01,14370.2
2018-11-01,14411.1
2018-12-01,14599.3
2019-01-01,14565.8
2019-02-01,14629.0
2019-03-01,14662.8
2019-04-01,14638.4
2019-05-01,14636.0
2019-06-01,14651.8
2019-07-01,14644.9
2019-08-01,14724.0
2019-09-01,14754.4
2019-10-01,14786.9
2019-11-01,14864.1
2019-12-01,14792.5
2020-01-01,14966.4
2020-02-01,15051.0
2020-03-01,14686.1
2020-04-01,13798.2
2020-05-01,14117.0
2020-06-01,14433.6
2020-07-01,14567.8
2020-08-01,14732.0
2020-09-01,14899.2
2020-10-01,15128.9
2020-11-01,15110.8
2020-12-01,15124.8
2021-01-01,15057.7
2021-02-01,15068.0
2021-03-01,15203.4
2021-04-01,15323.2
2021-05-01,15393.1
2021-06-01,15440.9
2021-07-01,15491.1
2021-08-01,15480.9
2021-09-01,15513.3
2021-10-01,15565.9
2021-11-01,15560.6
2021-12-01,15500.8
2022-01-01,15399.0
2022-02-01,15379.6
2022-03-01,15315.8
2022-04-01,15315.5
2022-05-01,15304.5
2022-06-01,15242.6
2022-07-01,15386.7
2022-08-01,15434.7
2022-09-01,15466.3
2022-10-01,15426.4
2022-11-01,15405.3
2022-12-01,15402.2
2023-01-01,15496.1
2023-02-01,15529.2
2023-03-01,15596.8
2023-04-01,15592.2
2023-05-01,15622.4
2023-06-01,15638.0
2023-07-01,15691.7
2023-08-01,15726.6
2023-09-01,15741.9
2023-10-01,15784.0
2023-11-01,15860.3
2023-12-01,15893.6
2024-01-01,15928.8
2024-02-01,15908.7
