,Value
2014-05-01,138500.0
2014-06-01,138833.0
2014-07-01,139076.0
2014-08-01,139257.0
2014-09-01,139564.0
2014-10-01,139804.0
2014-11-01,140088.0
2014-12-01,140366.0
2015-01-01,140562.0
2015-02-01,140831.0
2015-03-01,140925.0
2015-04-01,141202.0
2015-05-01,141539.0
2015-06-01,141695.0
2015-07-01,141989.0
2015-08-01,142130.0
2015-09-01,142265.0
2015-10-01,142584.0
2015-11-01,142810.0
2015-12-01,143083.0
2016-01-01,143196.0
2016-02-01,143411.0
2016-03-01,143666.0
2016-04-01,143856.0
2016-05-01,143901.0
2016-06-01,144152.0
2016-07-01,144515.0
2016-08-01,144664.0
2016-09-01,144961.0
2016-10-01,145069.0
2016-11-01,145188.0
2016-12-01,145410.0
2017-01-01,145636.0
2017-02-01,145848.0
2017-03-01,145976.0
2017-04-01,146173.0
2017-05-01,146389.0
2017-06-01,146588.0
2017-07-01,146772.0
2017-08-01,146907.0
2017-09-01,146999.0
2017-10-01,147146.0
2017-11-01,147375.0
2017-12-01,147521.0
2018-01-01,147667.0
2018-02-01,148054.0
2018-03-01,148280.0
2018-04-01,148426.0
2018-05-01,148755.0
2018-06-01,148968.0
2018-07-01,149023.0
2018-08-01,149274.0
2018-09-01,149361.0
2018-10-01,149525.0
2018-11-01,149622.0
2018-12-01,149804.0
2019-01-01,150062.0
2019-02-01,150067.0
2019-03-01,150294.0
2019-04-01,150602.0
2019-05-01,150640.0
2019-06-01,150844.0
2019-07-01,150934.0
2019-08-01,151155.0
2019-09-01,151358.0
2019-10-01,151458.0
2019-11-01,151666.0
2019-12-01,151792.0
2020-01-01,152045.0
2020-02-01,152309.0
2020-03-01,150898.0
2020-04-01,130421.0
2020-05-01,133040.0
2020-06-01,137655.0
2020-07-01,139240.0
2020-08-01,140774.0
2020-09-01,141820.0
2020-10-01,142493.0
2020-11-01,142761.0
2020-12-01,142518.0
2021-01-01,142916.0
2021-02-01,143443.0
2021-03-01,144274.0
2021-04-01,144593.0
2021-05-01,145044.0
2021-06-01,145822.0
2021-07-01,146761.0
2021-08-01,147226.0
2021-09-01,147706.0
2021-10-01,148566.0
2021-11-01,149197.0
2021-12-01,149763.0
2022-01-01,150014.0
2022-02-01,150876.0
2022-03-01,151370.0
2022-04-01,151642.0
2022-05-01,151928.0
2022-06-01,152348.0
2022-07-01,153038.0
2022-08-01,153281.0
2022-09-01,153536.0
2022-10-01,153897.0
2022-11-01,154155.0
2022-12-01,154291.0
2023-01-01,154773.0
2023-02-01,155060.0
2023-03-01,155206.0
2023-04-01,155484.0
2023-05-01,155787.0
2023-06-01,156027.0
2023-07-01,156211.0
2023-08-01,156421.0
2023-09-01,156667.0
2023-10-01,156832.0
2023-11-01,157014.0
2023-12-01,157304.0
2024-01-01,157560.0
2024-02-01,157830.0
2024-03-01,158133.0
