,Value
2014-04-01,24.4668459602
2014-07-01,24.7761613884
2014-10-01,24.9622252444
2015-01-01,24.7158703643
2015-04-01,25.0431740642
2015-07-01,25.4674972434
2015-10-01,24.8830827942
2016-01-01,24.758214398
2016-04-01,25.1184001767
2016-07-01,25.4983495259
2016-10-01,25.7477784937
2017-01-01,25.2939147389
2017-04-01,25.3306022449
2017-07-01,25.5184720184
2017-10-01,25.7585479065
2018-01-01,25.2421585588
2018-04-01,25.1363095881
2018-07-01,25.2814499867
2018-10-01,25.4077144038
2019-01-01,24.9838912992
2019-04-01,25.2292953358
2019-07-01,25.440468415
2019-10-01,25.6127535437
2020-01-01,25.1096061564
2020-04-01,22.6733814854
2020-07-01,23.5644123604
2020-10-01,24.1620134633
2021-01-01,21.2779175618
2021-04-01,23.9073530942
2021-07-01,24.3079722723
2021-10-01,24.7439711494
2022-01-01,25.0822923194
2022-04-01,25.3707452263
2022-07-01,25.3649904675
2022-10-01,25.5185049771
2023-01-01,24.5796146862
2023-04-01,24.502606875
2023-07-01,24.4595260416
