,Value
2014-07-01,94.938
2014-10-01,96.299
2015-01-01,96.86
2015-04-01,97.237
2015-07-01,97.569
2015-10-01,97.979
2016-01-01,97.597
2016-04-01,97.893
2016-07-01,97.979
2016-10-01,98.371
2017-01-01,99.193
2017-04-01,99.749
2017-07-01,100.221
2017-10-01,100.828
2018-01-01,101.106
2018-04-01,101.619
2018-07-01,102.316
2018-10-01,102.839
2019-01-01,104.505
2019-04-01,103.888
2019-07-01,102.828
2019-10-01,103.685
2020-01-01,106.619
2020-04-01,107.643
2020-07-01,104.395
2020-10-01,107.9
2021-01-01,107.376
2021-04-01,109.076
2021-07-01,111.219
2021-10-01,112.142
2022-01-01,114.393
2022-04-01,115.716
2022-07-01,117.704
2022-10-01,117.103
2023-01-01,119.127
2023-04-01,119.862
2023-07-01,119.882
2023-10-01,119.99
