,Value
2014-05-01,79897.0
2014-06-01,80826.0
2014-07-01,136828.0
2014-08-01,83560.0
2014-09-01,81407.0
2014-10-01,75726.0
2014-11-01,77448.0
2014-12-01,72601.0
2015-01-01,73723.0
2015-02-01,71060.0
2015-03-01,74409.0
2015-04-01,74599.0
2015-05-01,66579.0
2015-06-01,74630.0
2015-07-01,69403.0
2015-08-01,71733.0
2015-09-01,64641.0
2015-10-01,75108.0
2015-11-01,69034.0
2015-12-01,60897.0
2016-01-01,75670.0
2016-02-01,68517.0
2016-03-01,63561.0
2016-04-01,75946.0
2016-05-01,74483.0
2016-06-01,61277.0
2016-07-01,65843.0
2016-08-01,66246.0
2016-09-01,66063.0
2016-10-01,82351.0
2016-11-01,62768.0
2016-12-01,66384.0
2017-01-01,68255.0
2017-02-01,71999.0
2017-03-01,71441.0
2017-04-01,72026.0
2017-05-01,70475.0
2017-06-01,85867.0
2017-07-01,65106.0
2017-08-01,67949.0
2017-09-01,74873.0
2017-10-01,72984.0
2017-11-01,77456.0
2017-12-01,77489.0
2018-01-01,68319.0
2018-02-01,73194.0
2018-03-01,77760.0
2018-04-01,72844.0
2018-05-01,74062.0
2018-06-01,71088.0
2018-07-01,65840.0
2018-08-01,72442.0
2018-09-01,70542.0
2018-10-01,68035.0
2018-11-01,65862.0
2018-12-01,71829.0
2019-01-01,69723.0
2019-02-01,61896.0
2019-03-01,68388.0
2019-04-01,63117.0
2019-05-01,58432.0
2019-06-01,57227.0
2019-07-01,63472.0
2019-08-01,60700.0
2019-09-01,57664.0
2019-10-01,60174.0
2019-11-01,56918.0
2019-12-01,52806.0
2020-01-01,70815.0
2020-02-01,69452.0
2020-03-01,50570.0
2020-04-01,50218.0
2020-05-01,59526.0
2020-06-01,50315.0
2020-07-01,56964.0
2020-08-01,60071.0
2020-09-01,65482.0
2020-10-01,67140.0
2020-11-01,65435.0
2020-12-01,66510.0
2021-01-01,70709.0
2021-02-01,72947.0
2021-03-01,73031.0
2021-04-01,75370.0
2021-05-01,76434.0
2021-06-01,79000.0
2021-07-01,73628.0
2021-08-01,80424.0
2021-09-01,75846.0
2021-10-01,76185.0
2021-11-01,80173.0
2021-12-01,80929.0
2022-01-01,90257.0
2022-02-01,82087.0
2022-03-01,80120.0
2022-04-01,81612.0
2022-05-01,82129.0
2022-06-01,82428.0
2022-07-01,84532.0
2022-08-01,81484.0
2022-09-01,85136.0
2022-10-01,87156.0
2022-11-01,77458.0
2022-12-01,90167.0
2023-01-01,84527.0
2023-02-01,77659.0
2023-03-01,85285.0
2023-04-01,85450.0
2023-05-01,91113.0
2023-06-01,106376.0
2023-07-01,88653.0
2023-08-01,85849.0
2023-09-01,101003.0
2023-10-01,86621.0
2023-11-01,102380.0
2023-12-01,102519.0
2024-01-01,80862.0
2024-02-01,84362.0
