,Value
2014-02-01,214910.0
2014-03-01,212294.0
2014-04-01,213967.0
2014-05-01,212011.0
2014-06-01,211120.0
2014-07-01,211350.0
2014-08-01,209036.0
2014-09-01,207165.0
2014-10-01,203722.0
2014-11-01,200179.0
2014-12-01,193790.0
2015-01-01,185228.0
2015-02-01,189409.0
2015-03-01,191870.0
2015-04-01,191730.0
2015-05-01,191462.0
2015-06-01,192879.0
2015-07-01,191708.0
2015-08-01,187696.0
2015-09-01,186461.0
2015-10-01,184795.0
2015-11-01,183815.0
2015-12-01,180383.0
2016-01-01,177797.0
2016-02-01,178023.0
2016-03-01,179698.0
2016-04-01,180664.0
2016-05-01,180933.0
2016-06-01,184208.0
2016-07-01,181455.0
2016-08-01,182072.0
2016-09-01,183042.0
2016-10-01,183384.0
2016-11-01,181996.0
2016-12-01,189856.0
2017-01-01,189576.0
2017-02-01,188786.0
2017-03-01,186744.0
2017-04-01,186821.0
2017-05-01,186921.0
2017-06-01,185910.0
2017-07-01,185564.0
2017-08-01,189278.0
2017-09-01,189800.0
2017-10-01,192407.0
2017-11-01,197485.0
2017-12-01,196876.0
2018-01-01,199507.0
2018-02-01,200259.0
2018-03-01,199795.0
2018-04-01,201809.0
2018-05-01,202891.0
2018-06-01,203990.0
2018-07-01,205045.0
2018-08-01,205492.0
2018-09-01,207509.0
2018-10-01,207518.0
2018-11-01,201849.0
2018-12-01,198492.0
2019-01-01,199411.0
2019-02-01,201585.0
2019-03-01,201343.0
2019-04-01,202907.0
2019-05-01,202206.0
2019-06-01,198965.0
2019-07-01,199221.0
2019-08-01,198525.0
2019-09-01,196971.0
2019-10-01,194981.0
2019-11-01,194825.0
2019-12-01,194889.0
2020-01-01,190938.0
2020-02-01,190122.0
2020-03-01,170223.0
2020-04-01,140480.0
2020-05-01,144949.0
2020-06-01,172636.0
2020-07-01,184210.0
2020-08-01,184298.0
2020-09-01,185308.0
2020-10-01,184661.0
2020-11-01,188333.0
2020-12-01,193971.0
2021-01-01,197225.0
2021-02-01,197141.0
2021-03-01,200644.0
2021-04-01,200685.0
2021-05-01,205578.0
2021-06-01,209609.0
2021-07-01,215412.0
2021-08-01,216025.0
2021-09-01,216940.0
2021-10-01,222246.0
2021-11-01,226211.0
2021-12-01,227616.0
2022-01-01,229713.0
2022-02-01,235612.0
2022-03-01,248729.0
2022-04-01,250986.0
2022-05-01,256942.0
2022-06-01,262384.0
2022-07-01,254449.0
2022-08-01,254542.0
2022-09-01,256766.0
2022-10-01,259236.0
2022-11-01,254259.0
2022-12-01,248573.0
2023-01-01,251634.0
2023-02-01,248837.0
2023-03-01,244182.0
2023-04-01,242771.0
2023-05-01,241028.0
2023-06-01,241403.0
2023-07-01,246355.0
2023-08-01,252413.0
2023-09-01,252436.0
2023-10-01,244652.0
2023-11-01,245980.0
